173-55: Bevölkerung nach Migrationsstatus, Geschlecht und Altersgruppen
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
;;;;insgesamt;insgesamt;davon;davon;davon;davon;davon;davon
;;;;;;Ausländer;Ausländer;Eingebürgerte 2);Eingebürgerte 2);Aussiedler 3);Aussiedler 3)
;;;;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich
04011121;Handelshäfen (Ortsteil);2013-12-31;65 oder mehr;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2013-12-31;Insgesamt;x;x;x;x;x;x;x;x;x;x
04011122;Industriehäfen (Ortsteil);2013-12-31;unter 6;.;.;.;.;.;.;.;.;.;.
04011122;Industriehäfen (Ortsteil);2013-12-31;6 - 15;.;.;.;.;.;.;.;.;.;.
04011122;Industriehäfen (Ortsteil);2013-12-31;15 - 18;.;.;.;.;.;.;.;.;.;.
04011122;Industriehäfen (Ortsteil);2013-12-31;18 - 25;.;.;.;.;.;.;.;.;.;.
04011122;Industriehäfen (Ortsteil);2013-12-31;25 - 30;.;.;.;.;.;.;.;.;.;.
04011122;Industriehäfen (Ortsteil);2013-12-31;30 - 50;.;.;.;.;.;.;.;.;.;.
04011122;Industriehäfen (Ortsteil);2013-12-31;50 - 65;2;1;2;1;0;0;0;0;19;4
04011122;Industriehäfen (Ortsteil);2013-12-31;65 oder mehr;4;1;4;1;0;0;0;0;7;4
04011122;Industriehäfen (Ortsteil);2013-12-31;Insgesamt;17;3;17;3;0;0;0;0;48;16
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2013-12-31;unter 6;.;.;.;.;.;.;.;.;.;.
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2013-12-31;6 - 15;.;.;.;.;.;.;.;.;.;.
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2013-12-31;15 - 18;.;.;.;.;.;.;.;.;.;.
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2013-12-31;18 - 25;.;.;.;.;.;.;.;.;.;.
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2013-12-31;25 - 30;.;.;.;.;.;.;.;.;.;.
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2013-12-31;30 - 50;.;.;.;.;.;.;.;.;.;.
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2013-12-31;50 - 65;.;.;.;.;.;.;.;.;.;.
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2013-12-31;65 oder mehr;.;.;.;.;.;.;.;.;.;.
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2013-12-31;Insgesamt;.;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2013-12-31;unter 6;.;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2013-12-31;6 - 15;.;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2013-12-31;15 - 18;.;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2013-12-31;18 - 25;.;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2013-12-31;25 - 30;.;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2013-12-31;30 - 50;.;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2013-12-31;50 - 65;.;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2013-12-31;65 oder mehr;.;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2013-12-31;Insgesamt;.;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2013-12-31;unter 6;.;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2013-12-31;6 - 15;.;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2013-12-31;15 - 18;.;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2013-12-31;18 - 25;.;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2013-12-31;25 - 30;.;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2013-12-31;30 - 50;.;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2013-12-31;50 - 65;.;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2013-12-31;65 oder mehr;.;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2013-12-31;Insgesamt;.;.;.;.;.;.;.;.;.;.
040112;Süd (Stadtbezirk);2013-12-31;unter 6;3279;1581;557;252;2069;1003;653;326;2763;1325
040112;Süd (Stadtbezirk);2013-12-31;6 - 15;4467;2163;973;472;2874;1397;620;294;4455;2135
040112;Süd (Stadtbezirk);2013-12-31;15 - 18;1429;659;536;252;723;327;170;80;1974;936
040112;Süd (Stadtbezirk);2013-12-31;18 - 25;3727;1798;1858;874;1401;682;468;242;7948;3954
040112;Süd (Stadtbezirk);2013-12-31;25 - 30;3460;1642;1864;850;1032;530;564;262;6478;3193
040112;Süd (Stadtbezirk);2013-12-31;30 - 50;11752;5834;6438;3195;3707;1816;1607;823;22903;11137
040112;Süd (Stadtbezirk);2013-12-31;50 - 65;5632;2767;2417;1172;1957;936;1258;659;18363;9393
040112;Süd (Stadtbezirk);2013-12-31;65 oder mehr;3318;1766;1468;700;938;521;912;545;22172;12961
040112;Süd (Stadtbezirk);2013-12-31;Insgesamt;37064;18210;16111;7767;14701;7212;6252;3231;87056;45034
0401121;Neustadt (Stadtteil);2013-12-31;unter 6;830;391;147;79;582;266;101;46;1024;486
0401121;Neustadt (Stadtteil);2013-12-31;6 - 15;937;444;259;123;631;301;47;20;1248;576
0401121;Neustadt (Stadtteil);2013-12-31;15 - 18;342;182;163;84;172;93;7;5;517;237
0401121;Neustadt (Stadtteil);2013-12-31;18 - 25;1458;719;878;414;459;238;121;67;3890;2007
0401121;Neustadt (Stadtteil);2013-12-31;25 - 30;1558;707;985;428;388;190;185;89;3923;1954
0401121;Neustadt (Stadtteil);2013-12-31;30 - 50;3952;1837;2606;1202;1107;519;239;116;9978;4696
0401121;Neustadt (Stadtteil);2013-12-31;50 - 65;1430;662;881;405;443;201;106;56;6201;3166
0401121;Neustadt (Stadtteil);2013-12-31;65 oder mehr;956;473;554;257;237;122;165;94;5906;3573
0401121;Neustadt (Stadtteil);2013-12-31;Insgesamt;11463;5415;6473;2992;4019;1930;971;493;32687;16695
04011211;Alte Neustadt (Ortsteil);2013-12-31;unter 6;72;34;14;7;51;24;7;3;110;57
04011211;Alte Neustadt (Ortsteil);2013-12-31;6 - 15;83;43;29;14;48;26;6;3;74;32
04011211;Alte Neustadt (Ortsteil);2013-12-31;15 - 18;35;17;18;7;17;10;0;0;17;6
04011211;Alte Neustadt (Ortsteil);2013-12-31;18 - 25;196;104;114;58;57;29;25;17;671;327
04011211;Alte Neustadt (Ortsteil);2013-12-31;25 - 30;270;125;178;84;53;27;39;14;786;375
04011211;Alte Neustadt (Ortsteil);2013-12-31;30 - 50;588;274;410;191;136;65;42;18;1469;596
04011211;Alte Neustadt (Ortsteil);2013-12-31;50 - 65;189;82;116;49;61;26;12;7;775;361
04011211;Alte Neustadt (Ortsteil);2013-12-31;65 oder mehr;158;94;71;40;47;30;40;24;935;570
04011211;Alte Neustadt (Ortsteil);2013-12-31;Insgesamt;1591;773;950;450;470;237;171;86;4837;2324
04011212;Hohentor (Ortsteil);2013-12-31;unter 6;89;42;18;10;62;27;9;5;73;38
04011212;Hohentor (Ortsteil);2013-12-31;6 - 15;91;40;42;18;46;22;3;0;68;32
04011212;Hohentor (Ortsteil);2013-12-31;15 - 18;35;20;17;13;14;5;4;2;36;26
04011212;Hohentor (Ortsteil);2013-12-31;18 - 25;191;100;117;57;56;29;18;14;608;335
04011212;Hohentor (Ortsteil);2013-12-31;25 - 30;203;89;134;60;42;19;27;10;578;253
04011212;Hohentor (Ortsteil);2013-12-31;30 - 50;498;205;352;152;126;43;20;10;988;431
04011212;Hohentor (Ortsteil);2013-12-31;50 - 65;143;71;93;48;40;18;10;5;549;251
04011212;Hohentor (Ortsteil);2013-12-31;65 oder mehr;83;36;61;25;16;9;6;2;453;270
04011212;Hohentor (Ortsteil);2013-12-31;Insgesamt;1333;603;834;383;402;172;97;48;3353;1636
